_record_id,_server_updated_at,_project,_updated_by,_geometry,_latitude,_longitude,country,prospect,trenches,trench_code,sample_id,sample_id_read,altitude,easting,northing,gps_altitude,sample_type,sample_cat,sampling_method,qc_cat,standard_id,sample_cond,orig_grid_id,survey_method,survey_date,sampled_by,company,batch,photos,rock_type,rock_subtype,rock_subtype_old,unit,igneous_txt,intrusive_extrusive,phaneritic,porphyritic,fragfmentals,f_less_2mm,m_btw_2mm_64mm,c_more_64mm,clast_supported,matrix_supported,other,igneous_geom,sedimentary,no_clastic,clastic,mud,sand,gravel,int_clast_noclast,metamorphic,re_crystalized,foliated,alter_type,alter_int,alteration_minerals,min_type,minerals,min_occur,type,azimuth,dip,structhk,joint_int,fill_mineral,description
e2f4b472-87f4-4ad0-abef-697179abc892,2024-08-16 21:44:22 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3597387 -16.7997274),-16.7997274,-70.3597387,Perú,Vizcachas,,,,474059,,355107,8142107,5092,,RK: Rock,CH: Channel Sampled,ORIG: Original,,,,,2024-08-07,,,,"474059,474059-1,474059-2",Ukn: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,OP: Opaline silica,2: Weak Alteration,,ox: Oxides,,VLT: Veinlets,V = Veinlet / Vein,35,30,,,,"Vetilla de cz opalino con OXsFe++, hm-jar en oquedades "
71dd74d6-a5b1-4a7d-84b8-8627eebbbd31,2024-08-16 21:44:44 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3657365 -16.8090558),-16.8090558,-70.3657365,Perú,Vizcachas,,,,474060,,,,,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-07,M.M.,Goldfields,,"474060,474060-1,474060-2",VR: Volcaniclastic rock,,,,,,,,,,,,,,,VD: Volcaniclastic Deposits,,,,,,,,,,,,,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"Tuff de Xls con liticos, OXsFe en cav y frac"
89afdf30-29df-4338-9d99-3aa78a68145c,2024-08-16 21:44:57 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3519318 -16.7973264),-16.7973264,-70.3519318,Perú,Vizcachas,,,,474061,,355933,8142378,4940,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-09,M.M.,Goldfields,,"474061,474061-1",,,,,,,,,,,,,,,,,,,,,,,,,,,SC: Silica clay,3: Moderate Alteration,,mx: Mixed,,FRC: Fracture Controlled,,,,,,,"And de tx porfiritica con alt silice-clay, py diss y en facturas, OXsFe rellenando cav y frac, goe, hm jar "
570d86a9-bf44-43a6-b12b-688bc07f5c45,2024-08-16 21:45:14 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3594227 -16.7958314),-16.7958314,-70.3594227,Perú,Vizcachas,,,,474062,,355133,8142534,5179,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,,,2024-08-10,M.M.,Goldfields,,"474062,474062-1,474062-2,474062-3",Ukn: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,AI: Intermediate argillic,3: Moderate Alteration,,ox: Oxides,,PER: Pervasive,,,,,,,"Roca de tx obliterada con alt argilica, OXsFe en cav y frac"
f5b27f4c-0061-4c62-8699-bd3b38fe58ba,2024-08-16 21:45:37 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3594051 -16.7956193),-16.7956193,-70.3594051,Perú,Vizcachas,,,,474063,,355131,8142556,5177,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-10,M.M.,Goldfields,,"474063,474063-1",IR: Igneous rock,,Andesita ,,Intrusive / extrusive,Porphyritic,,Pf: Fine porphyritic texture,,,,,,,,LAV: Lava,,,,,,,,,,,CHL: Chloritic,2: Weak Alteration,,sp: Sulphides,,DIS: Disseminated,,,,,,,"And de tx por de color gris oscuro, Mtx afanitica con incipiente alt de CLOs, py diss y frac"
d5c2db64-acd1-410d-b5a4-aabfb423c1bd,2024-08-16 21:46:02 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.35768848615322 -16.79119980729522),-16.79119981,-70.35768849,Perú,Vizcachas,,,,474064,,,,,,,,ST: Standard,OREAS 503d,,,,2024-08-12,M.M.,Goldfields,,"474064,474064-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Std Medio OREAS-503d
32ec3e41-f63c-4478-923b-0105a538418e,2024-08-16 21:46:17 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3576648 -16.7911941),-16.7911941,-70.3576648,Perú,Vizcachas,,,,474065,,355314,8143050,5222,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-10,M.M.,Goldfields,,"474065,474065-1",Bx: Breccia,,,,,,,,m: Fragments size between 2mm & 64mm,,,,"BCPI: Clast Supported, Polymictic - Igneous",,,,,,,,,,,,,,"ARG: Argillic, Clays(Kao, Mon)",2: Weak Alteration,,ox: Oxides,,Bx: Breccia,,,,,,,"Brecha piroclastica de comp andesitica, clasto soportado fragmentos polimicticos heterometricos con alt arg++, OXsFe en la matriz. "
57c90981-de1e-4b1f-926e-f6913463fc1a,2024-08-16 21:46:32 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3498127 -16.7906722),-16.7906722,-70.3498127,Perú,Vizcachas,,,,474066,,356154,8143115,5130,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-11,M.M.,Goldfields,,"474066,474066-1,474066-2",VR: Volcaniclastic rock,,,,,,,,m: Fragments size between 2mm & 64mm,,,,,,,VD: Volcaniclastic Deposits,,,,,,,,,,,SC: Silica clay,2: Weak Alteration,,ox: Oxides,,SEL: Selective,,,,,,,"Toba de xls con liticos polimicticos, comp dacitica, alt débil silice-clay, OXsFe en cav y frac"
5a8094db-ab38-4764-bd39-f3d47d54e66d,2024-08-16 21:46:46 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.34976729721413 -16.790631425883888),-16.79063143,-70.3497673,Perú,Vizcachas,,,,474067,,,,,,,,BLANK: Blank,TR-18137,,,,2024-08-12,M.M.,Goldfields,,"474067,474067-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR-18137
339bf4b7-5b5f-42ee-91c6-c0aa9213db65,2024-08-16 21:47:01 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3514945 -16.7892008),-16.7892008,-70.3514945,Perú,Vizcachas,,,,474068,,355971,8143271,5190,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,,,2024-08-11,M.M.,Goldfields,,"474068,474068-1,474068-2",,,,,,,,,,,,,,,,,,,,,,,,,,,"ARG: Argillic, Clays(Kao, Mon)",2: Weak Alteration,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"Brecha piroclastica con fragmentos polimicticos heterometricos, alt arg, OXsFe en cav y frac"
